image,Raw_iou,Raw_dice,Raw_precision,Raw_recall,CLAHE_(clip=2.0)_iou,CLAHE_(clip=2.0)_dice,CLAHE_(clip=2.0)_precision,CLAHE_(clip=2.0)_recall,CLAHE_(clip=4.0)_iou,CLAHE_(clip=4.0)_dice,CLAHE_(clip=4.0)_precision,CLAHE_(clip=4.0)_recall,CLAHE_+_Denoise_iou,CLAHE_+_Denoise_dice,CLAHE_+_Denoise_precision,CLAHE_+_Denoise_recall
Sample__10_10_.ome.png,0.005553445984431365,0.011045551097474628,0.005574522124915475,0.5949540387248191,0.0026609573329255238,0.005307790860838265,0.0026800205622267274,0.272247212986505,0.007307216494845361,0.014508416846793739,0.007462477048250613,0.25992567964013297,0.007589859603183793,0.015065375124304814,0.007589859603183793,1.0
Sample__10_11_.ome.png,0.00672165209627694,0.013353546300073262,0.006769477680270779,0.487551867219917,0.006317589528424536,0.012555856310501445,0.006356644746988444,0.5069650266745702,0.013805543029588262,0.027235090840661034,0.013976082248970912,0.530823947836396,0.008178677625474782,0.01622465899544258,0.008223593950394207,0.5995850622406639
Sample__10_12_.ome.png,0.15867155384731865,0.27388530135301353,0.15909835187081717,0.983374429559841,0.15744220425319702,0.27205194985054415,0.15805471577507557,0.9759771087884587,0.15730523717994352,0.27184744720114823,0.1579198132310551,0.9758575003680259,0.15844553406957188,0.2735485258645854,0.1588833695231863,0.9829051965258354
Sample__10_13_.ome.png,0.5133260690525195,0.6784077530282797,0.5175397088519846,0.9843870028319518,0.6891813579890439,0.8159945108670965,0.699866307419118,0.9783275433105172,0.5092739138939768,0.674859492641774,0.5132442023011577,0.9850376638117841,0.5109761107741047,0.6763523355936063,0.5142995760434704,0.9875113220743187
Sample__10_14_.ome.png,0.33459910857000513,0.501422646578149,0.3360741188630183,0.9870528079222819,0.3347856874583407,0.501632120577843,0.33633500170018316,0.986427318575284,0.3350187102046628,0.5018936553380638,0.3363862455137083,0.9880107251739779,0.3347575158738042,0.5016004958093888,0.33615988685846143,0.9876914194234125
Sample__10_15_.ome.png,0.04502411662274822,0.08616856952211724,0.04698612568497144,0.5188226937760809,0.04101493020945968,0.07879796728987773,0.0426494286551421,0.5169581816567522,0.03969012646431007,0.07634991514112936,0.04123608584680993,0.5142501997691556,0.06471493012925743,0.12156292411791571,0.06556535046802445,0.833037379028678
Sample__10_16_.ome.png,0.0037002747401391136,0.00737326636898077,0.0037027400577218372,0.8475043029259897,0.005830147518466386,0.011592707840086586,0.005868429050221939,0.47194492254733217,0.006288423109552854,0.012498251922884826,0.006322512835024457,0.538382099827883,0.004750100015897723,0.009455286475358529,0.004751644026891614,0.9359724612736661
Sample__10_17_.ome.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sample__10_18_.ome.png,0.011024575771824464,0.02180871966125692,0.011024575771824464,1.0,0.011032866296670782,0.02182494093803944,0.011032866296670782,1.0,0.011035018945261302,0.021829152776079563,0.011035018945261302,1.0,0.010991733575451152,0.021744457863326003,0.010991733575451152,1.0
Sample__10_19_.ome.png,0.05717991697111829,0.10817442906963663,0.05846853112304424,0.7217921651419188,0.04377433872285393,0.08387701651377162,0.04456565822807131,0.7114238798967863,0.056856846101500665,0.10759611637324838,0.05798663111370859,0.7447806708890453,0.04493595108569303,0.08600709170548564,0.04571335658960563,0.7254515599343185
Sample__10_20_.ome.png,0.052344710455440195,0.09948206122076887,0.05328857652365467,0.747172490744028,0.034550049828159166,0.06679241827671459,0.03599570483364126,0.4624435766090176,0.033086096844218205,0.06405293217145548,0.03453201442702568,0.44139574986052643,0.05285707991893559,0.10040694207613687,0.05391004133964412,0.7301820763807881
Sample__10_21_.ome.png,0.09366034460513506,0.17127866995845228,0.11474175489418445,0.33764915811817636,0.11162413722214477,0.2008307187375116,0.13412968604925196,0.39949427892462386,0.1153438729023293,0.20683105131009216,0.13791021872690448,0.41345657817957326,0.0928473872641321,0.16991830395746127,0.11394011775668042,0.33402115909917374
Sample__10_22_.ome.png,0.10297844195035241,0.1867279323578796,0.11802972656675685,0.4467619577108628,0.07444623132094519,0.1385760015732375,0.08694261403621009,0.3412184580067792,0.07424372918302173,0.1382251106822568,0.08615436321745552,0.3493965099804516,0.11438490093338018,0.2052879590123203,0.12689166059414667,0.5371509532093474
Sample__10_23_.ome.png,0.2820927623545746,0.44005047160005606,0.3306885226843375,0.6574883344649745,0.32896978987034553,0.49507489542322836,0.4120161648998973,0.620076758979693,0.32435297693625037,0.4898285919009393,0.3998555983073928,0.6320480778954364,0.35951792234111096,0.5288903021182914,0.4564009172131262,0.6287542797705898
Sample__10_24_.ome.png,0.06274746055933737,0.11808536437492421,0.07418424751189302,0.2892724005287312,0.06915149420947075,0.1293577095182405,0.0833855960961864,0.28830702054031576,0.06264021435654357,0.11789543348775645,0.07584653572842734,0.2645735248251177,0.05991166019062801,0.11305028983236723,0.07163875640837268,0.2679300767848391
Sample__10_25_.ome.png,0.06875807841447652,0.12866911568328068,0.09915731427905712,0.1831917580210067,0.06632231686541738,0.12439450214336656,0.09662342200672695,0.174568099638409,0.06448386162007935,0.12115517002190876,0.0953740907873318,0.1660377087757562,0.05871278101859745,0.11091352077965722,0.08219306012894657,0.17048585203466682
Sample__10_26_.ome.png,0.2541090273816315,0.4052423223715539,0.25462004373318886,0.992163800353818,0.13987241110152532,0.2454176620808963,0.22063200381405554,0.2764769003219164,0.15248840104828412,0.2646246173229739,0.25267651264517016,0.27775876569705055,0.14465076090214957,0.252742174020212,0.22674105230182387,0.2854789594269308
Sample__10_27_.ome.png,0.3169600049951015,0.4813509959192428,0.31849837916971663,0.9849899517220669,0.3179291938609318,0.48246779165661274,0.31911900922844694,0.9884086761682567,0.31910589933570654,0.4838215028776784,0.31985929519576156,0.9926728419301933,0.3193281928512448,0.4840769636873049,0.3200106561573539,0.9933658266152318
Sample__10_28_.ome.png,0.1080260267819003,0.1949882478765343,0.1926362036936928,0.19739843785408892,0.10753811885054933,0.19419307926332505,0.18777571886787128,0.20106459589168718,0.12203967582841806,0.21753183681016344,0.20321054380717496,0.23402476671047928,0.12604562115871806,0.22387302750489843,0.20119669102883303,0.2523102335161376
Sample__10_29_.ome.png,0.2356197896307614,0.3813791129084641,0.23588343389404298,0.9952787840357606,0.08715786078860284,0.1603407636226449,0.16482372751017593,0.15609520281766187,0.08991918148219066,0.16500155793186203,0.17478107597559006,0.15625843634834036,0.10091737137566587,0.1833332346269788,0.17349975619461835,0.19434835291089333
Sample__10_30_.ome.png,0.21701382701970706,0.35663329734082466,0.21731488957386352,0.993656685975361,0.08393104907932178,0.15486418467413,0.14230462519936204,0.16985532076908433,0.07469656091209137,0.13900958396795585,0.1282670299414277,0.15171602621631178,0.07558191869434175,0.14054144529705614,0.12209614256416942,0.16555165755622636
Sample__10_31_.ome.png,0.12878060019019422,0.22817649447287683,0.20598070462234452,0.2557334761024044,0.11339622859386367,0.20369429261867475,0.17749019466083468,0.2389759563905383,0.11348783014569368,0.20384206647475336,0.17520841061966724,0.24366300009734254,0.14432801056311909,0.2522493712132343,0.2268240743619237,0.28409422758687825
Sample__10_32_.ome.png,0.2884165916792141,0.4477070437339154,0.289136162674725,0.991445007631094,0.09842668010930991,0.17921392823327084,0.17009706601130678,0.18936342893894614,0.10291375842274707,0.18662158783824,0.17488487076967013,0.200046960578636,0.10647149054373004,0.19245229805498013,0.15751571938539966,0.247303595036471
Sample__10_33_.ome.png,0.18417017389318457,0.31105355962089487,0.18432051198328217,0.9955908289241623,0.18421001899638015,0.31111038758563864,0.18435217766195372,0.9958313291646625,0.037136084774121586,0.07161275230763853,0.05387637199253976,0.10675805675805676,0.18435934770811155,0.3113233294690006,0.18446985095353535,0.9967612634279301
Sample__10_34_.ome.png,0.06337896399194665,0.1192029674049987,0.07124767570023474,0.36462280399586633,0.06649798851301773,0.12470344853764542,0.07469872669395179,0.3772247100700425,0.06337287271934472,0.11919219371711522,0.07146675815143588,0.3587954989091744,0.10382173703760887,0.18811323160973684,0.10979105939752498,0.6563038236307268
Sample__10_35_.ome.png,0.08474137679680438,0.15624254519919228,0.09027025558001484,0.5804623527062113,0.08491724515697106,0.15654142384783426,0.09019248465674456,0.5921459956061514,0.08584290372890968,0.15811293407935026,0.09094869349035985,0.6046035550229678,0.08352908986559535,0.15417969050735236,0.08793721831319884,0.624950069902137
Sample__10_36_.ome.png,0.05619284546103702,0.10640641186412955,0.06048322114371428,0.44201848160898716,0.038069162549848226,0.07334610047819455,0.04198778966716996,0.2897263997100924,0.03808107278608022,0.07336820559472368,0.042629353379926,0.2630367820257293,0.04950666186532229,0.09434273009250364,0.05398683707609259,0.3736546475810835
Sample__10_37_.ome.png,0.050089469398251325,0.09540038417289311,0.05157377374726948,0.6350915327921747,0.05344836275213869,0.10147315168349513,0.05563424150027868,0.5763339333627687,0.05072868294417225,0.09655905233695346,0.05290272221680164,0.5524572903576402,0.04630504678390725,0.08851156156846982,0.047653316645807256,0.6207247902727303
Sample__10_38_.ome.png,0.02231128884614753,0.04364871852550825,0.02237185706927325,0.8917870359317178,0.022379546219115615,0.043779330879374315,0.02243946755736921,0.8933985913811627,0.020911408483192687,0.04096615692494135,0.02099925846039532,0.8332935418407544,0.02173965239365773,0.04255419145714399,0.021813861672381005,0.864689029485496
Sample__10_39_.ome.png,0.07213963436695256,0.13457134137112203,0.09263073754111968,0.24591457332003264,0.06046330857937309,0.11403187284314714,0.07823601084098648,0.21021129953749887,0.06520601985549732,0.12242893607443744,0.08526054802718762,0.21704906139475832,0.16497960495286074,0.28323174800907597,0.18764405930379932,0.5773283758048426
