image,baseline_amg_iou,baseline_amg_dice,baseline_amg_precision,baseline_amg_recall,uniform_N36_iou,uniform_N36_dice,uniform_N36_precision,uniform_N36_recall,microscopy_aware_N36_iou,microscopy_aware_N36_dice,microscopy_aware_N36_precision,microscopy_aware_N36_recall
Sample__10_10_.ome.png,0.005553445984431365,0.011045551097474628,0.005574522124915475,0.5949540387248191,0.006701545413664133,0.013313867340712979,0.007049647517624119,0.11949931547036964,0.005135632042235438,0.010218784169059565,0.005391068078407694,0.09778994719342851
Sample__10_11_.ome.png,0.00672165209627694,0.013353546300073262,0.006769477680270779,0.487551867219917,0.00999811430457124,0.019798283111558852,0.010165970960075096,0.37714878482513337,0.006285315484999328,0.01249211409185673,0.0064272601815109865,0.22154712507409602
Sample__10_12_.ome.png,0.15867155384731865,0.27388530135301353,0.15909835187081717,0.983374429559841,0.33721335685277104,0.5043523610120486,0.3492047196428761,0.9075794935963492,0.42321283189047026,0.5947288028991584,0.4408797435191517,0.9135047107316355
Sample__10_13_.ome.png,0.5133260690525195,0.6784077530282797,0.5175397088519846,0.9843870028319518,0.011859344410421163,0.023440697515782163,0.042031757327758754,0.016252192756165514,0.005539122524724137,0.011017219321743378,0.019830682783598886,0.007627351838475562
Sample__10_14_.ome.png,0.33459910857000513,0.501422646578149,0.3360741188630183,0.9870528079222819,0.038369516684779406,0.07390339579166852,0.5091671324762437,0.03984323399862655,0.002350227092495134,0.004689432952616588,0.013184768760995733,0.0028518814982000777
Sample__10_15_.ome.png,0.04502411662274822,0.08616856952211724,0.04698612568497144,0.5188226937760809,0.035052963340363515,0.06773172887161101,0.03776070252469813,0.32833170558465774,0.027301188582639267,0.05315128393904915,0.029545262886367808,0.26440557577909973
Sample__10_16_.ome.png,0.0037002747401391136,0.00737326636898077,0.0037027400577218372,0.8475043029259897,0.0022869669946005925,0.004563497421218913,0.002374896361771195,0.05817555938037866,0.007808831887710975,0.015496653017188534,0.008034477059788206,0.21755593803786574
Sample__10_17_.ome.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sample__10_18_.ome.png,0.011024575771824464,0.02180871966125692,0.011024575771824464,1.0,0.011252165918172496,0.022253926957883988,0.011735028802820537,0.21473883115130246,0.011968203876269016,0.023653319996469652,0.012753267628272915,0.16277500337427453
Sample__10_19_.ome.png,0.05717991697111829,0.10817442906963663,0.05846853112304424,0.7217921651419188,0.03711845288249844,0.07157996809204169,0.038476709704231206,0.5125498475252169,0.023190672994598708,0.04533011022613403,0.02546912999820068,0.20586441473140982
Sample__10_20_.ome.png,0.052344710455440195,0.09948206122076887,0.05328857652365467,0.747172490744028,0.0630380373497621,0.11859977749605444,0.0660374096739619,0.5812243241872496,0.04768608401723351,0.09103124446281968,0.05327008321020297,0.31267434193842875
Sample__10_21_.ome.png,0.09366034460513506,0.17127866995845228,0.11474175489418445,0.33764915811817636,0.08657712011409094,0.15935752467344483,0.10992853152511028,0.289554914712424,0.11021290891529836,0.1985437352245863,0.13779027605962862,0.35512106015374595
Sample__10_22_.ome.png,0.10297844195035241,0.1867279323578796,0.11802972656675685,0.4467619577108628,0.06746051032806805,0.12639439056595184,0.08470077072819474,0.24892842411090585,0.06058227778991046,0.11424342846111772,0.06960960749026665,0.318405997238114
Sample__10_23_.ome.png,0.2820927623545746,0.44005047160005606,0.3306885226843375,0.6574883344649745,0.26473075358727216,0.41863574968251854,0.30363218191286234,0.6738706461911848,0.30551691273418086,0.4680397622644783,0.35452850213753634,0.6884712250136038
Sample__10_24_.ome.png,0.06274746055933737,0.11808536437492421,0.07418424751189302,0.2892724005287312,0.013830485189800403,0.027283624613460268,0.019279755949348443,0.046650131440198424,0.015485753234426658,0.030499203332204197,0.0264000955659568,0.03610521156673746
Sample__10_25_.ome.png,0.06875807841447652,0.12866911568328068,0.09915731427905712,0.1831917580210067,0.04501826933045967,0.08615786087510748,0.07415208188865544,0.1028023302531137,0.019621132113128156,0.03848710368029361,0.04458574654434482,0.03385610973999885
Sample__10_26_.ome.png,0.2541090273816315,0.4052423223715539,0.25462004373318886,0.992163800353818,0.12157651717384273,0.21679576081031401,0.2389695864511937,0.19838751776340594,0.09132465546693637,0.16736478005779504,0.22558942429696952,0.13302978451901046
Sample__10_27_.ome.png,0.3169600049951015,0.4813509959192428,0.31849837916971663,0.9849899517220669,0.12003384270326574,0.2143396710470055,0.46854018350910537,0.13895266914601187,0.11335285780287073,0.20362431731942593,0.42636446643692383,0.13375066411032316
Sample__10_28_.ome.png,0.1080260267819003,0.1949882478765343,0.1926362036936928,0.19739843785408892,0.10250411972013317,0.18594782166646867,0.20597632484177797,0.1694691624742538,0.06236468718073551,0.11740730454103597,0.18899706036862754,0.08515256354086406
Sample__10_29_.ome.png,0.2356197896307614,0.3813791129084641,0.23588343389404298,0.9952787840357606,0.015347174452296082,0.030230397717066062,0.08282708966137924,0.01848933645569779,0.02316037015890603,0.0452722189685846,0.1886888039423387,0.025721837507298423
Sample__10_30_.ome.png,0.21701382701970706,0.35663329734082466,0.21731488957386352,0.993656685975361,0.030174008780385297,0.0585804117036656,0.08422811089290724,0.04490631203937886,0.042821328705042905,0.08212591654261171,0.12831922332341297,0.06038726170079682
Sample__10_31_.ome.png,0.12878060019019422,0.22817649447287683,0.20598070462234452,0.2557334761024044,0.18548312370231823,0.3129241066259061,0.38612722544508904,0.2630536357441838,0.14683713998445488,0.2560732206256334,0.3544295082531541,0.20044777572276842
Sample__10_32_.ome.png,0.2884165916792141,0.4477070437339154,0.289136162674725,0.991445007631094,0.09149476585155174,0.16765039781051125,0.15564253383771018,0.1816659775712193,0.06351172931051699,0.11943775994213462,0.1873656647209645,0.08765804531695838
Sample__10_33_.ome.png,0.18417017389318457,0.31105355962089487,0.18432051198328217,0.9955908289241623,0.01763667446614478,0.03466202606229189,0.02633299327517645,0.0506974506974507,0.012815033701279671,0.02530577306785781,0.02027607924962085,0.03365400032066699
Sample__10_34_.ome.png,0.06337896399194665,0.1192029674049987,0.07124767570023474,0.36462280399586633,0.09007897639096892,0.1652705507434006,0.09810586619875372,0.5240268687564589,0.10348758568344453,0.18756456715251496,0.11527782346942132,0.5029423584797336
Sample__10_35_.ome.png,0.08474137679680438,0.15624254519919228,0.09027025558001484,0.5804623527062113,0.03343898307927085,0.06471399594320487,0.04130673461355209,0.1493409227082085,0.07684401569015202,0.14272079255769,0.09413949188741194,0.29491212302776115
Sample__10_36_.ome.png,0.05619284546103702,0.10640641186412955,0.06048322114371428,0.44201848160898716,0.04740101366360513,0.09051168185870967,0.05382791130269449,0.2841819170139518,0.045065772852065825,0.08624485467374522,0.052453899930599936,0.24239898532342816
Sample__10_37_.ome.png,0.050089469398251325,0.09540038417289311,0.05157377374726948,0.6350915327921747,0.05627829401953777,0.1065595957773166,0.059343292812554356,0.5214482219882485,0.018582990288913335,0.036487925806894556,0.020481967868808747,0.1669666813843698
Sample__10_38_.ome.png,0.02231128884614753,0.04364871852550825,0.02237185706927325,0.8917870359317178,0.06486091187804123,0.1218204389973322,0.07144996540078287,0.4129163184911066,0.1278037541505726,0.22664183140058883,0.1418877236273905,0.5628506625283515
Sample__10_39_.ome.png,0.07213963436695256,0.13457134137112203,0.09263073754111968,0.24591457332003264,0.009470849485104509,0.01876398806351913,0.014827408335351027,0.02554638614310329,0.21651438588438268,0.35595861158186115,0.277522202892082,0.49620023578489164
